Nicrophorus tomentosus
Panoquina ocola
Lithobates sylvaticus
Vireo huttoni
Prunus persica
Pachyramphus aglaiae
Phocoena phocoena
Ceratomia catalpae
Sambucus racemosa racemosa
Desmanthus illinoensis
Melothria pendula
Huperzia lucidula
Alisterus scapularis
Pedicularis densiflora
Dermochelys coriacea
Hyphantria cunea
Toxicoscordion fremontii
Cicindela punctulata
Durvillaea antarctica
Gastrophryne carolinensis
Potentilla recta
Cicindela repanda
Nuphar lutea
Stylurus plagiatus
Fumaria capreolata
Platanus occidentalis
Brachyglottis repanda
Taxodium mucronatum
Veronica anagallis-aquatica
Apocynum cannabinum
Phoradendron leucarpum
Cardamine bulbosa
Eschrichtius robustus
Chrysodeixis includens
Tursiops truncatus
Murgantia histrionica
Chelydra serpentina
Varanus niloticus
Opuntia basilaris
Mimulus bigelovii
Marah fabacea
Cygnus buccinator
Bouvardia ternifolia
Aphonopelma iodius
Gymnadenia conopsea
Youngia japonica
Juniperus californica
Pisaster ochraceus
Coluber lateralis lateralis
Melampodium leucanthum
Salvia farinacea
Salsola tragus
Cardamine impatiens
Plumeria rubra
Elgaria coerulea
Equisetum telmateia
Orcinus orca
Clematis pitcheri
Paonias excaecata
Delphinus delphis
Baccharis salicifolia
Mestra amymone
Pugettia producta
Pitangus sulphuratus
Intellagama lesueurii
Equus asinus
Xanthium strumarium
Erythrodiplax minuscula
Centaurea melitensis
Nuphar advena
Trifolium incarnatum
Paraserianthes lophantha
Podocarpus totara
Ericameria nauseosa
Taxodium distichum
Pyrola elliptica
Cyathea dealbata
Sabal palmetto
Ribes cereum
Anthus novaeseelandiae novaeseelandiae
Megaptera novaeangliae
Pyrgus oileus
Anartia jatrophae
Heliconius charithonia
Coleonyx brevis
Coleonyx elegans
Euptoieta hegesia meridiania
Vanessa gonerilla
Coleonyx variegatus
Sympetrum ambiguum
Anas platyrhynchos
Sayornis phoebe
Schistocerca americana
Ericameria linearifolia
Ischnura perparva
Sayornis nigricans
Botrychium dissectum
Mydas clavatus
Asplenium rhizophyllum
Cystopteris bulbifera
Tityra semifasciata
Dryopteris carthusiana
Opuntia humifusa
Ptelea trifoliata
Dryopteris intermedia
Acharia stimulea
Botrypus virginianus
Sternotherus odoratus
Gymnocarpium dryopteris
Dryocopus lineatus
Matteuccia struthiopteris
Podiceps nigricollis
Onoclea sensibilis
Robinia pseudoacacia
Calopogon tuberosus
Lysimachia quadrifolia
Labidomera clivicollis
Sarracenia alata
Lepidospartum squamatum
Wallengrenia otho
Rhododendron periclymenoides
Dacrymyces palmatus
Cornus racemosa
Ursus americanus
Stachys palustris
Pistacia lentiscus
Daphnis nerii
Malacothrix glabrata
Navanax inermis
Malacothrix saxatilis
Buteo lineatus
Procyon lotor
Aplysia vaccaria
Setophaga americana
Oxidus gracilis
Kinosternon subrubrum
Anaxyrus americanus americanus
Nasua narica
Heliotropium curassavicum
Bassariscus astutus
Actaea rubra
Corylus cornuta californica
Scolopendra polymorpha
Juniperus communis
Clematis lasiantha
Lespedeza cuneata
Descurainia pinnata
Betula alleghaniensis
Heterotheca grandiflora
Betula populifolia
Eriobotrya japonica
Romneya coulteri
Porphyrio melanotus
Neobernaya spadicea
Sisymbrium irio
Oophaga pumilio
Stanleya pinnata
Thysanocarpus curvipes
Blepharomastix ranalis
Asclepias syriaca
Antaeotricha schlaegeri
Trillium cuneatum
Salvia mellifera
Corylus cornuta
Trientalis borealis
Sisyrinchium angustifolium
Strongylocentrotus purpuratus
Sisyrinchium bellum
Quercus kelloggii
Mirounga angustirostris
Halosaccion glandiforme
Halichoerus grypus
Atriplex lentiformis
Zalophus californianus
Sphenodon punctatus
Chenopodium album
Phrynosoma modestum
Paris quadrifolia
Thuja occidentalis
Typocerus velutinus
Diacme elealis
Arctocephalus forsteri
Dudleya lanceolata
Cucurbita foetidissima
Eumetopias jubatus
Anas crecca carolinensis
Phocarctos hookeri
Solanum chenopodioides
Cervus elaphus canadensis
Marah macrocarpa
Ginglymostoma cirratum
Pyrausta volupialis
Phrynosoma orbiculare
Dodecatheon meadia
Prosopis glandulosa
Anticarsia gemmatalis
Battus philenor
Trillium grandiflorum
Microstylum morosum
Frankenia salina
Arctia villica
Taxidea taxus
Neoscona oaxacensis
Tarentola mauritanica
Pistia stratiotes
Alectoris chukar
Cetonia aurata
Conocephalus brevipennis
Mentha arvensis
Thamnophis sirtalis infernalis
Salvia leucophylla
Mustela erminea
Terrapene carolina carolina
Mustela frenata
Oryctes nasicornis
Capsella bursa-pastoris
Lepus europaeus
Malva parviflora
Perisoreus canadensis
Tetragonia tetragonoides
Artemisiospiza belli
Thamnophis elegans
Cepaea hortensis
Forestiera pubescens
Celastrina neglecta
Pentagramma triangularis
Paeonia californica
Salvia spathacea
Meles meles
Gallus gallus
Barbarea vulgaris
Platanus racemosa
Cardinalis sinuatus
Castilleja affinis
Cardinalis cardinalis
Iris cristata
Aralia spinosa
Viola sororia
Viola pubescens
Valerianella radiata
Melospiza lincolnii
Eucalyptus globulus
Melospiza georgiana
Meleagris gallopavo
Limacia cockerelli
Orthodera novaezealandiae
Cosmopepla lintneriana
Meleagris ocellata
Conepatus leuconotus
Erynnis horatius
Mephitis mephitis
Dryas iulia
Thamnophis elegans elegans
Crocuta crocuta
Stenopus hispidus
Lagopus lagopus
Lophophora williamsii
Doriopsilla albopunctata
Herpestes javanicus
Biston betularia
Spizella atrogularis
Pyrrhocorax graculus
Euphorbia albomarginata
Anas americana
Spizella breweri
Punica granatum
Spizella pusilla
Iris foetidissima
Passerella iliaca
Aeronautes saxatalis
Calidris bairdii
Rana aurora
Columbina talpacoti
Cornus alternifolia
Vireo bellii
Baccharis halimifolia
Plectrodera scalator
Vireo plumbeus
Didymops transversa
Vireo philadelphicus
Vireo flavifrons
Vireo olivaceus
Ruscus aculeatus
Verbena stricta
Datura wrightii
Zonotrichia querula
Zonotrichia capensis
Zonotrichia albicollis
Zonotrichia atricapilla
Egretta garzetta
Celithemis eponina
Justicia californica
Delphinium glaucum
Sphaeralcea ambigua
Emberiza citrinella
Panthera leo
Tetraclita rubescens
Hedycarya arborea
Emberiza schoeniclus
Vireo gilvus
Abronia villosa
Thlaspi arvense
Rana temporaria
Lynx rufus
Calochortus splendens
Hesperoyucca whipplei
Thymophylla pentachaeta
Hyptis emoryi
Ludwigia octovalvis
Apoda y-inversum
Enallagma vesperum
Bromus tectorum
Diplacodes trivialis
Distichlis spicata
Loxosceles reclusa
Neovison vison
Charaxes jasius
Calystegia macrostegia
Crocothemis servilia
Leopardus pardalis
Pinus radiata
Dorcus parallelipipedus
Troglodytes pacificus
Abudefduf sordidus
Sorghum halepense
Serinus serinus
Puma concolor
Serinus mozambicus
Melanis pixe
Bidens pilosa
Callophrys dumetorum
Urosalpinx cinerea
Anthocharis midea
Leptophobia aripa elodia
Chrysemys picta
Heliopetes laviana
Phrynosoma cornutum
Mergus merganser
Carya ovata
Rana boylii
Troglodytes hiemalis
Juglans cinerea
Lanius collurio
Castilleja indivisa
Coreopsis tripteris
Ensatina eschscholtzii oregonensis
Lophura leucomelanos
Sympetrum danae
Arbutus unedo
Canis mesomelas
Clematis terniflora
Canis lupus
Zanthoxylum americanum
Canis latrans
Euphonia elegantissima
Rana dalmatina
Euphonia hirundinacea
Euphonia affinis
Iridopsis defectaria
Pilosella officinarum
Euphorbia maculata
Papio anubis
Perithemis tenera
Myscelia ethusa
Pinus monticola
Vulpes vulpes
Lomographa vestaliata
Agelaius tricolor
Linnaea borealis
Maurandya antirrhiniflora
Momotus lessonii
Zosterops japonicus
Ribes sanguineum
Thorybes pylades
Parthenocissus quinquefolia
Icterus cucullatus
Erynnis icelus
Erynnis juvenalis
Lycaon pictus
Erynnis baptisiae
Earina mucronata
Icterus graduacauda
Ancyloxypha numitor
Deloyala guttata
Rhododendron maximum
Thymelicus lineola
Capra hircus
Anas superciliosa × platyrhynchos
Icterus pustulatus
Lygodium japonicum
Fragaria vesca
Icterus gularis
Calidris alpina
Anser anser
Gelsemium sempervirens
Agrius convolvuli
Syringa vulgaris
Pecari tajacu
Magnolia grandiflora
Lethe appalachia
Aquilegia caerulea
Calochortus nuttallii
Speyeria cybele
Phlegmariurus varius
Tradescantia ohiensis
Anatrytone logan
Eurytides marcellus
Poanes viator
Lathyrus vestitus
Glyptemys insculpta
Epimecis hortaria
Micrurus tener tener
Echium vulgare
Sus scrofa
Pompeius verna
Coccinella undecimpunctata
Solanum xanti
Papilio troilus
Serenoa repens
Hypoblemum albovittatum
Carduelis cannabina
Agave lechuguilla
Colias philodice
Hylephila phyleus
Hippopotamus amphibius
Erythrodiplax umbrata
Trachemys scripta scripta
Satyrium calanus
Satyrium liparops
Callophrys augustinus
Dama dama
Rallus obsoletus
Pavo cristatus
Axis axis
Celastrina ladon
Sympetrum sanguineum
Libytheana carinenta
Speyeria aphrodite
Boloria bellona
Celtis laevigata
Capreolus capreolus
Pedicularis groenlandica
Pipilo chlorurus
Pipilo maculatus
Turbinellus floccosus
Euonymus americanus
Pipilo erythrophthalmus
Zizia aurea
Dorocordulia libera
Sambucus nigra canadensis
Nymphalis vaualbum
Rangifer tarandus
Crocosmia × crocosmiiflora
Limenitis archippus
Asterocampa clyton
Cervus elaphus
Anartia jatrophae luteipicta
Symphoricarpos mollis
Cervus nippon
Picoides dorsalis
Monstera deliciosa
Chlosyne janais
Megisto cymela
Odocoileus hemionus
Picoides nuttallii
Cercyonis pegala
Odocoileus virginianus
Ardea cocoi
Lepisosteus osseus
Picoides scalaris
Anthanassa texana
Carassius auratus
Callipepla gambelii
Pyrrhula pyrrhula
Phalacrocorax brasilianus
Ponometia erastrioides
Anicla infecta
Picoides pubescens
Colinus virginianus
Terrapene ornata luteola
Mammillaria heyderi
Evolvulus alsinoides
Hamadryas februa
Acer campestre
Podilymbus podiceps
Plestiodon skiltonianus skiltonianus
Sporophila torqueola
Coenobita clypeatus
Picoides villosus
Calypte anna
Tetraopes tetrophthalmus
Deroceras reticulatum
Phlogophora periculosa
Plodia interpunctella
Dromogomphus spinosus
Dromogomphus spoliatus
Hygrocybe conica
Picoides arcticus
Aythya ferina
Aspidoscelis tesselata
Leucauge venusta
Sphenosciadium capitellatum
Marshallia caespitosa
Bouteloua dactyloides
Pelargonium × hortorum
Fuscospora cliffortioides
Sicalis flaveola
Paspalum dilatatum
Bisporella citrina
Mangifera indica
Anemone americana
Enallagma aspersum
Lilium parvum
Sturnella magna
Dythemis fugax
Morchella esculenta
Dythemis nigrescens
Opheodrys vernalis
Dythemis velox
Chioides albofasciatus
Matelea biflora
Thasus gigas
Hemidactylus mabouia
Anaea aidea
Spiranthes romanzoffiana
Apiosporina morbosa
Matelea reticulata
Aythya affinis
Rhinella marina
Kobus ellipsiprymnus
Anania hortulata
Ileostylus micranthus
Sceloporus occidentalis bocourtii
Conchylodes ovulalis
Larix laricina
Pinus sylvestris
Hoheria populnea
Pinus banksiana
Commelina erecta
Eryngium leavenworthii
Toxicodendron rydbergii
Thunbergia alata
Rupicapra rupicapra
Toxicodendron radicans
Lycium ferocissimum
Cyrtonyx montezumae
Spragueia leo
Rhus aromatica
Graphosoma lineatum
Anteos clorinde
Dasiphora fruticosa
Cornus amomum
Nomophila nearctica
Callipepla californica
Quiscalus quiscula
Cystopteris fragilis
Oncopeltus sexmaculatus
Quiscalus mexicanus
Arisaema triphyllum
Euphoria kernii
Callipepla squamata
Selaginella bigelovii
Eantis tamenund
Pinus sabiniana
Ovis canadensis
Ruellia humilis
Mimulus cardinalis
Anaxyrus boreas
Orthemis discolor
Argemone munita
Bison bison
Sceloporus cowlesi
Cydia latiferreana
Asclepias eriocarpa
Oreamnos americanus
Sceloporus tristichus
Enallagma geminatum
Brickellia californica
Lupinus nanus
Sympetrum semicinctum
Lupinus bicolor
Celtis occidentalis
Mirabilis jalapa
Fritillaria affinis
Alectoris rufa
Cotula coronopifolia
Antilocapra americana
Dryocopus pileatus
Pycnoporus coccineus
Cooperia drummondii
Deinandra fasciculata
Erysimum capitatum
Orthetrum sabina
Hypselonotus punctiventris
Rana draytonii
Strymon istapa
Juniperus virginiana
Lycoperdon pyriforme
Solanum umbelliferum
Delphinium nudicaule
Castanea sativa
Varanus salvator
Nemophila menziesii
Crocodylus moreletii
Xylaria polymorpha
Dichelostemma capitatum
Crocodylus acutus
Diospyros virginiana
Abronia maritima
Trogon massena
Amanita pantherina
Tridens flavus
Bombus ternarius
Geothlypis trichas
Dracopis amplexicaulis
Achlys triphylla
Decodon verticillatus
Anthanassa tulcis
Sedum spathulifolium
Larus heermanni
Delphinium carolinianum
Arctostaphylos pungens
Orchis mascula
Cycloneda sanguinea
Agelaius phoeniceus
Corallorhiza striata
Lupinus hirsutissimus
Bistorta bistortoides
Chlorochlamys chloroleucaria
Melilotus albus
Epipactis helleborine
Goodyera oblongifolia
Piptoporus betulinus
Heliotropium indicum
Geranium carolinianum
Branta canadensis
Anartia fatima fatima
Pinicola enucleator
Nyctemera annulata
Phrynosoma blainvillii
Alligator mississippiensis
Naupactus cervinus
Trichostema lanatum
Enallagma basidens
Enallagma carunculatum
Enallagma civile
Oxybelis aeneus
Berchemia scandens
Enallagma cyathigerum
Allionia incarnata
Enallagma exsulans
Coccothraustes vespertinus
Coccothraustes coccothraustes
Lithobates clamitans melanota
Rhynchospora colorata
Vermivora chrysoptera
Plantago coronopus
Plantago major
Enallagma signatum
Dryas octopetala
Viburnum prunifolium
Opisthocomus hoazin
Setophaga coronata coronata
Hetaerina titia
Vanessa annabella
Dermacentor variabilis
Acer glabrum
Linaria vulgaris
Triphysaria eriantha
Diglossa baritula
Allium validum
Allium vineale
Scathophaga stercoraria
Calopteron reticulatum
Alnus incana
Trillium sessile
Dreissena polymorpha
Schistocerca nitens
Uropappus lindleyi
Packera aurea
Favolaschia calocera
Saltator coerulescens
Plantago maritima
Scrophularia californica
Auricularia auricula-judae
Saltator atriceps
Euphagus carolinus
Urola nivalis
Branta sandvicensis
Hemidactylus turcicus
Collinsia parviflora
Brachystola magna
Trillium chloropetalum
Ribes speciosum
Viola pedunculata
Allium cernuum
Gilia tricolor
Chinavia hilaris
Verbascum blattaria
Ambrosia salsola
Amelanchier alnifolia
Calochortus tolmiei
Hosackia gracilis
Sparaxis tricolor
Junco hyemalis hyemalis
Chamaedaphne calyculata
Phyla nodiflora
Phyla lanceolata
Cerastium arvense
Cirsium arvense
Sagittaria latifolia
Microtis unifolia
Trillium erectum
Andropogon glomeratus
Phacelia cicutaria
Phacelia congesta
Cyperus eragrostis
Rubus laciniatus
Vinca minor
Anemone occidentalis
Trachycephalus typhonius
Clepsis peritana
Comandra umbellata
Viola bicolor
Layia platyglossa
Erigeron glaucus
Anoda cristata
Limenitis lorquini
Piranga olivacea
Epiaeschna heros
Piranga flava
Rosa rugosa
Tragelaphus strepsiceros
Euphydryas chalcedona
Platanthera psycodes
Asimina triloba
Anthoxanthum odoratum
Heuchera micrantha
Phaulacridium marginale
Amphispiza bilineata
Prosthemadera novaeseelandiae
Sceloporus uniformis
Alternanthera philoxeroides
Piaya cayana
Clinocardium nuttallii
Diphthera festiva
Aptenia cordifolia
Potamogeton nodosus
Larrea tridentata
Aimophila ruficeps
Nuttallanthus canadensis
Portulaca oleracea
Gambusia affinis
Cosmos bipinnatus
Holbrookia propinqua
Melanerpes lewis
Melanerpes uropygialis
Trifolium dubium
Anthocharis sara
Circaetus gallicus
Lycaena helloides
Atlides halesus
Eurema daira
Passerculus sandwichensis
Satyrium sylvinus
Schistocerca obscura
Pholcus phalangioides
Salix exigua
Satyrium saepium
Microtia elva
Sphyraena barracuda
Melanerpes pucherani
Tragelaphus scriptus
Paltothemis lineatipes
Leptotes marina
Catocala ultronia
Leptecophylla juniperina
Muehlenbeckia complexa
Liquidambar styraciflua
Dudleya farinosa
Nassella pulchra
Plebejus icarioides
Melanerpes carolinus
Melanerpes chrysogenys
Amblyomma americanum
Melanerpes formicivorus
Prosartes hookeri
Caiman crocodilus
Nestor meridionalis
Phyciodes mylitta
Typha orientalis
Euphydryas editha
Myocastor coypus
Coenonympha tullia
Macropus giganteus
Erynnis propertius
Erynnis funeralis
Erynnis tristis
Heliopetes ericetorum
Gekko gecko
Trichosurus vulpecula
Hyalophora euryalus
Ochlodes sylvanoides
Lerodea eufala
Colaptes auratus
Basileuterus rufifrons
Bradypus variegatus
Larus michahellis
Dennstaedtia punctilobula
Ramphocelus passerinii
Silene coronaria
Medeola virginiana
Conoclinium coelestinum
Macrocystis pyrifera
Artemisia tridentata
Pinus monophylla
Aruncus dioicus
Gobiesox maeandricus
Asclepias curassavica
Cipangopaludina chinensis
Branta hutchinsii
Fringilla montifringilla
Fringilla coelebs
Mitchella repens
Asplenium trichomanes
Megacyllene robiniae
Egregia menziesii
Dynastes tityus
Malurus cyaneus
Postelsia palmaeformis
Ulva lactuca
Sambucus nigra caerulea
Sanguinaria canadensis
Arbutus menziesii
Dicentra formosa
Papilio eurymedon
Amazona oratrix
Dicksonia squarrosa
Elanus leucurus
Dicentra cucullaria
Junco hyemalis
Utetheisa ornatrix
Epitheca canis
Cuculus canorus
Maianthemum racemosum
Epitheca princeps
Dendromecon rigida
Junco phaeonotus
Sarcodes sanguinea
Oxyopes salticus
Calochortus luteus
Toxicodendron diversilobum
Quincula lobata
Triteleia laxa
Clarkia purpurea
Quercus wislizeni
Quercus chrysolepis
Trifolium campestre
Quercus gambelii
Papilio zelicaon
Ammodramus nelsoni
Ammodramus savannarum
Castilleja exserta
Microsorum pustulatum pustulatum
Costaconvexa centrostrigaria
Ammodramus maritimus
Anagrapha falcifera
Ranunculus sceleratus
Xylocopa virginica
Cupressus macrocarpa
Coccyzus erythropthalmus
Cryptoporus volvatus
Leptoptilos crumenifer
Coccyzus minor
Coccyzus americanus
Penthorum sedoides
Nymphaea odorata
Nucifraga columbiana
Siphanta acuta
Lithophragma affine
Crotophaga sulcirostris
Bombus vagans
Anacamptis morio
Arenaria melanocephala
Pooecetes gramineus
Orchis purpurea
Atriplex hymenelytra
Polygonum paronychia
Oenothera triloba
Arremonops rufivirgatus
Baptisia australis
Geococcyx californianus
Geococcyx velox
Polemonium reptans
Polemonium californicum
Tabanus atratus
Atteva aurea
Oplopanax horridus
Spodoptera litura
Charadra deridens
Diadophis punctatus
Cnidoscolus texanus
Bacopa monnieri
Thamnophis ordinoides
Coereba flaveola
Ulex europaeus
Grammia virgo
Phragmatobia fuliginosa
Diadophis punctatus edwardsii
Neverita duplicata
Urocitellus armatus
Codium fragile
Iris douglasiana
Diadophis punctatus amabilis
Phascolarctos cinereus
Adelpha californica
Momotus coeruliceps
Berberis nervosa
Araneus trifolium
Berberis vulgaris
Passerina ciris
Mythimna unipuncta
Geranoaetus albicaudatus
Amanita muscaria guessowii
Bidens cernua
Alectura lathami
Passerina leclancherii
Passerina amoena
Rudbeckia laciniata
Tremella aurantia
Icteria virens
Crax rubra
Oxyria digyna
Carya illinoinensis
Flammulina velutipes
Asterocampa celtis
Penelope purpurascens
Paroaria capitata
Quercus rubra
Procambarus clarkii
Cyanerpes cyaneus
Bombus vosnesenskii
Betula pendula
Microcarbo melanoleucos
Sphyrapicus thyroideus
Pheucticus ludovicianus
Sphyrapicus ruber
Taricha rivularis
Pheucticus melanocephalus
Sphyrapicus nuchalis
Erythrodiplax berenice
Ortalis poliocephala
Ortalis vetula
Oligocottus maculosus
Mniotilta varia
Pseudosphinx tetrio
Volatinia jacarina
Argiope bruennichi
Amaurornis phoenicurus
Nasturtium officinale
Pleopeltis polypodioides
Amorpha juglandis
Galasa nigrinodis
Thraupis palmarum
Pantherophis spiloides
Eupatorium altissimum
Lobelia angulata
Eremalche rotundifolia
Callinectes sapidus
Bothriochloa ischaemum
Eriogonum inflatum
Scaphiopus hurterii
Haploa lecontei
Scaphiopus holbrookii
Chauliognathus marginatus
Erythranthe moschata
Spea multiplicata
Pentatoma rufipes
Momotus mexicanus
Polygala paucifolia
Spea hammondii
Leptysma marginicollis
Neptunia lutea
Bouteloua curtipendula
Jacaranda mimosifolia
Euphagus cyanocephalus
Bellardia trixago
Platystemon californicus
Brasenia schreberi
Verbena brasiliensis
Sylvilagus palustris
Lutjanus griseus
Feltia jaculifera
Cacatua galerita
Piranga rubra
Ambystoma jeffersonianum
Crambus agitatellus
Sylvilagus floridanus
Sylvilagus bachmani
Oxalis montana
Lophocampa maculata
Caltha leptosepala
Bonasa umbellus
Bidens alba
Urbanus dorantes
Darmera peltata
Amanita velosa
Calochortus albus
Caracolus caracolla
Falco tinnunculus
Sterna forsteri
Eumomota superciliosa
Ambystoma texanum
Argiope argentata
Ambystoma gracile
Argiope trifasciata
Ambystoma tigrinum
Erythronium oregonum
Molothrus aeneus
Ambystoma macrodactylum
Capparis spinosa
Xerophyllum tenax
Molothrus ater
Alaus oculatus
Merops pusillus
Buddleja davidii
Pisaurina mira
Aeshna palmata
Aeshna umbrosa
Anax junius
Satyrium titus
Pyrgus communis
Tringa melanoleuca
Pteroglossus torquatus
Rhionaeschna multicolor
Calendula officinalis
Lethe anthedon
Lupinus polyphyllus
Melanchroia chephise
Maianthemum canadense
Pieris oleracea
Ambystoma maculatum
Calochortus plummerae
Omphalotus olivascens
Loxia curvirostra
Houstonia pusilla
Portulaca pilosa
Melitaea didyma
Popillia japonica
Arctium minus
Ochotona princeps
Merops orientalis
Calyptridium monospermum
Loxia leucoptera
Leptoglossus occidentalis
Uvularia sessilifolia
Pseudognaphalium californicum
Claytonia caroliniana
Nelumbo lutea
Frasera speciosa
Chrysochus auratus
Thelesperma filifolium
Dicamptodon tenebrosus
Dicamptodon ensatus
Camissoniopsis cheiranthifolia
Megalops atlanticus
Argiope aurantia
Aesculus glabra
Aeshna interrupta
Camassia scilloides
Vanessa gonerilla gonerilla
Drymobius margaritiferus
Periplaneta americana
Syncerus caffer
Megalopyge opercularis
Coracias garrulus
Lethe eurydice
Purshia tridentata
Coracias caudatus
Solidago canadensis
Melittia cucurbitae
Coracias benghalensis
Pontania californica
Xanthocephalus xanthocephalus
Carduus nutans
Galearis spectabilis
Oxydendrum arboreum
Trillium undulatum
Erigeron philadelphicus
