Hermodice carunculata
Largus californicus
Stenomacra marginella
Lygaeus equestris
Lygaeus kalmii
Melacoryphus lateralis
Melanopleurus belfragei
Neacoryphus bicrucis
Oncopeltus fasciatus
Spilostethus pandurus
Spilostethus saxatilis
Acutalis tartarea
Entylia carinata
Platycotis vittata
Adelphocoris lineolatus
Closterotomus norwegicus
Leptopterna dolabrata
Metriorrhynchomiris dislocatus
Stenotus binotatus
Taylorilygus apicalis
Icerya purchasi
Agonoscelis puberula
Bagrada hilaris
Banasa calva
Banasa dimidiata
Banasa euchlora
Carpocoris mediterraneus
Chinavia hilaris
Chlorochroa ligata
Dolycoris baccarum
Erthesina fullo
Eurydema ornata
Euschistus servus
Euschistus tristigmus
Euthyrhynchus floridanus
Glaucias amyoti
Graphosoma italicum
Halyomorpha halys
Menecles insertus
Monteithiella humeralis
Mormidea lugens
Murgantia histrionica
Nezara viridula
Oebalus pugnax
Podisus maculiventris
Proxys punctulatus
Rhaphigaster nebulosa
Stiretrus anchorago
Thyanta custator
Dindymus sanguineus
Dysdercus bimaculatus
Dysdercus mimulus
Apiomerus flaviventris
Arilus cristatus
Melanolestes picipes
Phymata americana
Phymata fasciata
Pselliopus barberi
Rasahus hamatus
Reduvius personatus
Repipta taurus
Zelus cervicalis
Zelus renardii
Zelus tetracanthus
Boisea trivittata
Corizus hyoscyami
Jadera haematoloma
Liorhyssus hyalinus
Niesthrea louisianica
Myodocha serripes
Xanthochilus saturnius
Apis cerana
Apis dorsata
Apis mellifera
Bombus auricomus
Bombus borealis
Bombus californicus
Bombus ephippiatus
Bombus fraternus
Bombus griseocollis
Bombus hypnorum
Bombus impatiens
Bombus lapidarius
Bombus melanopygus
Bombus mixtus
Bombus pascuorum
Bombus pensylvanicus
Bombus perplexus
Bombus ruderatus
Bombus rufocinctus
Bombus ternarius
Bombus terrestris
Bombus terricola
Bombus vosnesenskii
Eulaema polychroma
Melissodes bimaculatus
Tetragonisca angustula
Trigona fulviventris
Xylocopa californica
Xylocopa mexicanorum
Xylocopa micans
Xylocopa tabaniformis
Xylocopa violacea
Xylocopa virginica
Chrysis angolensis
Bembix americana
Bicyrtes quadrifasciatus
Philanthus gibbosus
Sphecius speciosus
Trypoxylon politum
Andricus confertus
Andricus fullawayi
Andricus gigas
Andricus parmula
Antron quercusechinus
Callirhytis quercuspomiformis
Callirhytis seminator
Cynips douglasii
Diplolepis polita
Diplolepis rosae
Disholcaspis plumbella
Dryocosmus minusculus
Diprion similis
Evania appendigaster
Anoplolepis gracilipes
Atta mexicana
Camponotus sericeiventris
Crematogaster scutellaris
Dorymyrmex bicolor
Formica obscuripes
Neoponera villosa
Paraponera clavata
Pogonomyrmex californicus
Pogonomyrmex rugosus
Tapinoma sessile
Veromessor pergandei
Agapostemon splendens
Agapostemon virescens
Augochlora pura
Augochloropsis metallica
Halictus ligatus
Enicospilus purgatus
Megarhyssa atrata
Megarhyssa macrurus
Megachile xylocopoides
Dasymutilla aureola
Dasymutilla sackenii
Pepsis thisbe
Tachypompilus ferrugineus
Megascolia maculata
Scolia bicincta
Scolia nobilitata
Ammophila pictipennis
Chlorion aerarium
Sceliphron caementarium
Sphex ichneumoneus
Sphex nudus
Myzinum quinquecinctum
Dolichovespula arenaria
Dolichovespula maculata
Euodynerus hidalgo
Euodynerus pratensis
Mischocyttarus flavitarsis
Pachodynerus erynnis
Parapolybia indica
Polistes annularis
Polistes aurifer
Polistes bellicosus
Polistes carolina
Polistes comanchus
Polistes dominula
Polistes dorsalis
Polistes exclamans
Polistes instabilis
Polistes major
Polistes metricus
Vespa crabro
Vespa velutina
Vespula maculifrons
Adela septentrionella
Adela trigrapha
Anthela ocellata
Argyresthia oreasella
Atteva aurea
Oegoconia novimundi
Blastobasis glandulella
Trilocha varians
Limnaecia phragmitella
Cossus cossus
Achyra affinitalis
Achyra rantalis
Agriphila ruricolella
Argyria lacteella
Chrysoteuchia topiarius
Cnaphalocrocis medinalis
Cnaphalocrocis poeyalis
Cnaphalocrocis trapezalis
Condylorrhiza vestigialis
Crambus agitatellus
Crambus albellus
Crambus girardellus
Crambus laqueatellus
Crambus praefectellus
Crambus saltuellus
Culladia cuneiferellus
Diacme adipaloides
Diaphania costata
Diaphania indica
Diathrausta harlequinalis
Elophila gyralis
Elophila icciusalis
Elophila obliteralis
Euchromius ocelleus
Eudonia strigalis
Eustixia pupula
Evergestis rimosalis
Fissicrambus mutabilis
Fumibotys fumalis
Glaphyria sequistrialis
Glyphodes onychinalis
Hellula rogatalis
Herpetogramma abdominalis
Herpetogramma bipunctalis
Herpetogramma licarsisalis
Herpetogramma phaeopteralis
Hileithia magualis
Hydriris ornatalis
Hygraula nitens
Hymenia perspectalis
Lamprosema victoriae
Leucinodes cordalis
Lineodes integra
Lineodes interrupta
Loxostege cereralis
Lygropia rivulalis
Maruca vitrata
Metoeca foedalis
Microcrambus biguttellus
Microcrambus elegans
Microtheoris ophionalis
Mimoschinia rufofascialis
Nacoleia rhoeoalis
Nomophila nearctica
Nomophila noctuella
Ommatospila narcaeusalis
Ostrinia nubilalis
Palpita atrisquamalis
Palpita flegia
Palpita quadristigmalis
Parapoynx allionealis
Parapoynx badiusalis
Parapoynx diminutalis
Parapoynx maculalis
Patania ruralis
Pediasia trisecta
Perispasta caeculalis
Petrophila bifascialis
Petrophila jaliscalis
Pilocrocis ramentalis
Pyrausta bicoloralis
Pyrausta californicalis
Pyrausta despicata
Pyrausta laticlavia
Pyrausta purpuralis
Pyrausta rubricalis
Pyrausta signatalis
Samea baccatalis
Samea ecclesialis
Samea multiplicalis
Sameodes cancellalis
Saucrobotys futilalis
Scoparia biplagialis
Spoladea recurvalis
Syngamia florella
Udea rubigalis
Uresiphita maorialis
Uresiphita reversalis
Urola nivalis
Agonopterix alstroemeriana
Bibarrambla allenella
Ethmia delliella
Machimia tentoriferella
Drepana arcuata
Drepana bilineata
Thyatira batis
Allotria elonympha
Amata huebneri
Amata phegea
Anticarsia gemmatalis
Apantesis arge
Apantesis incorrupta
Apantesis ornata
Apantesis parthenice
Apantesis proxima
Apantesis virgo
Apantesis virguncula
Arachnis picta
Arctia virginalis
Ascalapha odorata
Asota caricae
Asota heliconia
Asota plaginota
Barsine striata
Brunia antica
Brunia replana
Bulia deducta
Caenurgia chloropha
Caenurgina erechtea
Calliteara pudibunda
Catocala amatrix
Catocala cara
Catocala cerogama
Catocala lineella
Catocala relicta
Catocala vidua
Chalciope mygdon
Cisseps fulvicollis
Cisthene packardii
Cisthene plumbea
Cisthene tenuifascia
Clemensia albata
Cosmosoma myrodora
Crambidia pallida
Creatonotos transiens
Ctenucha rubroscapus
Ctenucha venosa
Ctenucha virginica
Cycnia collaris
Cyligramma latona
Dasypodia cymatodes
Diacrisia sannio
Diatenes aglossoides
Dysschema howardi
Ercheia cyllaria
Erebus ephesperis
Estigmene acrea
Eublemma minima
Eublemma recta
Eubolina impartialis
Euchaetes egle
Euclidia cuspidea
Euclidia glyphica
Eudocima phalonia
Euparthenos nubilis
Euplagia quadripunctaria
Gnophaela latipennis
Goniapteryx servia
Halone sejuncta
Halysidota tessellaris
Haploa clymene
Haploa lecontei
Horama panthalon
Hypena abalienalis
Hypena baltimoralis
Hypena bijugalis
Hypena deceptalis
Hypena manalis
Hypena minualis
Hypena palparia
Hypena proboscidalis
Hypena scabra
Hypercompe scribonia
Hyperstrotia pervertens
Hyperstrotia secta
Hypoprepia fucosa
Hypoprepia miniata
Hypsoropha hormos
Idia aemula
Idia americalis
Idia julia
Idia rotundalis
Isogona tenuis
Lascoria ambigualis
Laspeyria concavata
Leptocneria reducta
Lopharthrum comprimens
Lophocampa annulosa
Lophocampa argentata
Lophocampa caryae
Lophocampa maculata
Lyclene structa
Lymantria dispar
Macrochilo absorptalis
Melipotis acontioides
Melipotis cellaris
Melipotis fasciolaris
Melipotis jucunda
Metalectra discalis
Metria amella
Meyrickella torquesauria
Mocis frugalis
Mocis latipes
Mocis marcida
Mocis texana
Mocis undata
Nigetia formosalis
Nyctemera adversata
Nyctemera amicus
Nyctemera baulus
Orgyia definita
Orgyia detrita
Orgyia leucostigma
Orvasca subnotata
Palthis angulalis
Palthis asopialis
Panopoda carneicosta
Pantydia sparsa
Parallelia bistriaris
Pareuchaetes insulata
Perina nuda
Phalaenostola larentioides
Philenora aspectalella
Phoberia atomaris
Phyprosopus callitrichoides
Pseudohemihyalea edwardsii
Ptichodis vinculum
Pyrrharctia isabella
Renia discoloralis
Renia flavipunctalis
Rhapsa scotosialis
Rivula propinqualis
Rivula sericealis
Schistophleps bipuncta
Scolecocampa liburna
Selenisa sueroides
Spilosoma congrua
Spilosoma curvata
Spilosoma lubricipeda
Spilosoma virginica
Sympis rufibasis
Syntomeida epilais
Syntomeida melanthus
Tathorhynchus exsiccata
Termessa gratiosa
Tetanolita floridana
Tetanolita mynesalis
Trigonodes hyppasia
Tyria jacobaeae
Utetheisa pulchella
Virbia aurantiaca
Virbia laeta
Zale lunata
Zale minerea
Zanclognatha cruralis
Zanclognatha laevigata
Marathyssa basalis
Marathyssa inficita
Paectes abrostoloides
Paectes oculatrix
Anacampsis fullonella
Chionodes mediofuscella
Dichomeris flavocostella
Stegasta bosqueella
Acronyctodes mexicanaria
Alsophila pometaria
Anachloris subochraria
Anticlea vasiliata
Arhodia lasiocamparia
Besma endropiaria
Biston betularia
Cabera erythemaria
Campaea perlata
Camptogramma bilineata
Caripeta divisata
Caripeta piniata
Celenna festivaria
Chiasmia clathrata
Chiasmia emersaria
Chlorochlamys chloroleucaria
Chloroclystis filata
Chrysolarentia mecynata
Cingilia catenaria
Circopetes obtusata
Cladara atroliturata
Cladara limitaria
Cleora sublunaria
Comostola laesaria
Costaconvexa centrostrigaria
Crypsiphona ocultaria
Cyclophora nanaria
Cyclophora packardi
Dichorda illustraria
Dichorda iridaria
Didymoctenia exsuperata
Digrammia continuata
Digrammia gnophosaria
Digrammia ocellinata
Disclisioprocta stellata
Dissomorphia australiaria
Dysphania militaris
Ecliptopera silaceata
Ectropis bhurmitra
Ematurga atomaria
Ennomos subsignaria
Epicyme rubropunctaria
Epiphryne verriculata
Epirrhoe alternata
Epirrita autumnata
Epyaxa rosearia
Erannis defoliaria
Erastria cruentaria
Eubaphe unicolor
Euchlaena amoenaria
Euchlaena serrata
Eufidonia notataria
Eugonobapta nivosaria
Eulithis explanata
Euphyia intermediata
Eusarca confusaria
Eutrapela clemataria
Fernaldella fimetaria
Gastrophora henricaria
Gellonia dejectaria
Glena quinquelinearia
Glenoides texanaria
Gymnoscelis rufifasciata
Haematopis grataria
Hammaptera parinotata
Hemithea aestivaria
Heteralex unilinea
Hethemia pistasciaria
Homodotis megaspilata
Horisme intestinata
Hydrelia inornata
Hypagyrtis unipunctata
Hyposidra talaca
Idaea aversata
Idaea demissaria
Idaea dimidiata
Idaea furciferata
Idaea seriata
Idaea tacturata
Ilexia intractata
Iridopsis defectaria
Iridopsis larvaria
Isturgia dislocaria
Lambdina fiscellaria
Leptostales pannaria
Lobocleta ossularia
Lobophora nivigerata
Lomaspilis marginata
Lomographa glomeraria
Lophosis labeculata
Lycia ypsilon
Lytrosis unitaria
Macaria bisignata
Melanodes anthracitaria
Melanolophia canadaria
Melanolophia imitata
Melanolophia signataria
Mellilla xanthometata
Mesoleuca ruficillata
Milionia zonea
Nematocampa resistaria
Nemoria bistriaria
Nemoria lixaria
Nemoria mimosaria
Neoalcis californiaria
Nothomiza flavicosta
Obeidia tigrata
Operophtera bruceata
Operophtera brumata
Opisthograptis luteolata
Orthoclydon praefectata
Orthonama obstipata
Paleacrita vernata
Pasiphila rectangulata
Patalene olyzonaria
Peribatodes rhomboidaria
Pero morrisonaria
Phelotis cognata
Phigalia denticulata
Phigalia strigataria
Pholodes sinistraria
Phrissogonus laticostatus
Plagodis alcoolaria
Plagodis pulveraria
Plagodis serinaria
Pleuroprucha insulsaria
Poecilasthena pulchraria
Prasinocyma rhodocosma
Prasinocyma semicrocea
Prochoerodes lineola
Psamatodes abydata
Pseudocoremia suavis
Pseudopanthera macularia
Rheumaptera prunivorata
Rhodometra sacraria
Scopula inductata
Scopula limboundata
Scopula umbilicata
Scotopteryx chenopodiata
Sicya macularia
Sigilliclystis insigillata
Siona lineata
Spargania magnoliata
Speranza pustularia
Sphacelodes vulneraria
Synchlora aerata
Synchlora frondaria
Syneora hemeropa
Timandra amaturaria
Timandra comae
Traminda aventiaria
Trichodezia albovittata
Triphosa haesitata
Xanthorhoe ferrugata
Xanthorhoe fluctuata
Xanthorhoe labradorensis
Triodia sylvina
Amblyscirtes aesculapius
Amblyscirtes celia
Amblyscirtes hegon
Amblyscirtes nysa
Amblyscirtes vialis
Anatrytone logan
Ancyloxypha numitor
Antigonus erosus
Apyrrothrix araxes
Asbolis capucinus
Astraptes anaphus
Astraptes fulgerator
Atalopedes campestris
Atrytonopsis hianna
Cabares potrillo
Carcharodus alceae
Celotes nessus
Chioides albofasciatus
Chioides zilpa
Chiomara georgina
Cogia calchas
Copaeodes aurantiaca
Copaeodes minima
Cymaenes trebius
Eantis thraso
Epargyreus clarus
Erynnis baptisiae
Erynnis brizo
Erynnis funeralis
Erynnis horatius
Erynnis juvenalis
Erynnis propertius
Erynnis tages
Erynnis tristis
Euphyes dion
Euphyes vestris
Heliopetes ericetorum
Heliopetes macaira
Heliopyrgus domicella
Hesperia colorado
Hesperia comma
Hesperia leonardus
Hesperia sassacus
Hylephila phyleus
Iambrix salsala
Lerema accius
Lerodea eufala
Mylon pelopidas
Ochlodes agricola
Ochlodes sylvanoides
Ochlodes sylvanus
Panoquina ocola
Panoquina panoquin
Panoquina panoquinoides
Pellicia arina
Phocides pigmalion
Poanes hobomok
Poanes melane
Poanes taxiles
Poanes zabulon
Polites mystic
Polites peckius
Polygonus leo
Pompeius verna
Potanthus omaha
Pyrgus communis
Pyrgus malvae
Pyrgus malvoides
Pyrgus oileus
Pyrgus philetas
Pyrgus ruralis
Spathilepia clonius
Staphylus ceos
Staphylus hayhurstii
Staphylus mazans
Suastus gremius
Systasea pulverulenta
Thorybes bathyllus
Thorybes pylades
Thymelicus lineola
Thymelicus sylvestris
Urbanus dorantes
Urbanus procne
Urbanus proteus
Vettius fantasos
Wallengrenia egeremet
Xenophanes tryxus
Zopyrion sandace
Lactura subfervens
Artace cribrarius
Euthrix potatoria
Lasiocampa quercus
Macrothylacia rubi
Malacosoma americanum
Malacosoma disstria
Tolype laricis
Trabala vishnou
Apoda biguttata
Doratifera pinguis
Euclea incisa
Isochaetes beutenmuelleri
Packardia geminata
Phobetron pithecium
Tortricidia testacea
Acytolepis puspa
Anthene emolus
Arawacus jada
Aricia agestis
Aricia cramera
Atlides halesus
Brephidium exilis
Callophrys augustinus
Callophrys dumetorum
Callophrys eryphon
Callophrys gryneus
Callophrys mossii
Callophrys rubi
Callophrys viridis
Callophrys xami
Calycopis cecrops
Calycopis isobeon
Castalius rosimon
Celastrina echo
Celastrina neglecta
Chilades pandava
Chlorostrymon simaethis
Cupido amyntula
Cupido comyntas
Cupido minimus
Cyaniris semiargus
Drupadia ravindra
Echinargus isola
Eooxylides tharis
Euchrysops cnejus
Eumaeus atala
Eumaeus childrenae
Euphilotes bernardino
Everes argiades
Glaucopsyche lygdamus
Habrodais grunus
Hemiargus ceraunus
Hypolycaena erylus
Icaricia acmon
Icaricia icarioides
Icaricia lupini
Icaricia saepiolus
Jamides celeno
Leptotes cassius
Leptotes marina
Leptotes pirithous
Leptotes plinius
Lycaena alciphron
Lycaena arota
Lycaena boldenarum
Lycaena dispar
Lycaena dorcas
Lycaena editha
Lycaena epixanthe
Lycaena gorgon
Lycaena helloides
Lycaena heteronea
Lycaena hippothoe
Lycaena hyllus
Lycaena phlaeas
Lycaena rubidus
Lycaena salustius
Lycaena tityrus
Lycaena virgaureae
Lycaena xanthoides
Ministrymon clytie
Ministrymon leda
Panthiades bathildis
Phaeostrymon alcestis
Philotes sonorensis
Plebejus argus
Plebejus idas
Polyommatus bellargus
Polyommatus coridon
Polyommatus icarus
Pseudolycaena damo
Pseudozizeeria maha
Rapala pheretima
Satyrium behrii
Satyrium calanus
Satyrium edwardsii
Satyrium favonius
Satyrium spini
Satyrium tetra
Strymon albata
Strymon bazochii
Strymon melinus
Strymon rufofusca
Zizeeria knysna
Zizina labradus
Zizina otis
Zizina oxleyi
Zizula hylax
Lagoa crispata
Achatia distincta
Acontia trabealis
Acronicta dactylina
Acronicta fragilis
Acronicta hasta
Acronicta innotata
Acronicta insularis
Acronicta lobeliae
Acronicta morula
Acronicta oblinita
Acronicta rubricoma
Acronicta rumicis
Agnorisma badinodis
Agrotis exclamationis
Agrotis infusa
Agrotis malefida
Agrotis munda
Agrotis porphyricollis
Agrotis venerabilis
Allagrapha aerea
Alypia octomaculata
Amphipoea americana
Amphipyra pyramidoides
Amyna stricta
Anaplectoides prasina
Anathix ralla
Anicla infecta
Argyrogramma verruca
Athetis tarda
Athetis tenuis
Autographa precationis
Bagisara repanda
Balsa tristrigella
Bryolymnia viridata
Callopistria cordata
Callopistria floridensis
Chloridea virescens
Choephora fungorum
Chrysodeixis argentifera
Chrysodeixis eriosoma
Chrysodeixis includens
Colocasia propinquilinea
Condica vecors
Condica videns
Conistra vaccinii
Copivaleria grotei
Cosmia calami
Cosmodes elegans
Ctenoplusia oxygramma
Cucullia asteroides
Dargida diffusa
Dargida procinctus
Diachrysia balluca
Diastema tigris
Elaphria chalcedonia
Elaphria versicolor
Emarginea percara
Eudryas grata
Euplexia benesimilis
Feltia subterranea
Feralia comstocki
Galgula partita
Helicoverpa armigera
Helicoverpa zea
Hyppa xylinoides
Lacanobia oleracea
Lacinipolia erecta
Lacinipolia laudabilis
Lacinipolia olivacea
Lacinipolia renigera
Leucania adjuta
Leucania diatrecta
Leucania incognita
Leuconycta diphteroides
Leuconycta lepidula
Magusa divaricata
Maliattha concinnimacula
Maliattha synochitis
Marimatha nigrofimbria
Micrathetis triplex
Morrisonia mucens
Mythimna albipuncta
Mythimna convecta
Mythimna oxygala
Mythimna unipuncta
Nedra ramosula
Neoligia exhausta
Neumoegenia poetica
Noctua pronuba
Ochropleura implecta
Ogdoconta cinereola
Orthodes furtiva
Orthodes majuscula
Orthosia cerasi
Orthosia gothica
Orthosia hibisci
Panthea acronyctoides
Panthea virginarius
Papaipema inquaesita
Peridroma saucia
Phlogophora iris
Phosphila miselioides
Phosphila turbulenta
Plusia putnami
Polia nimbosa
Ponometia candefacta
Ponometia semiflava
Proteuxoa hypochalchis
Protodeltote albidula
Protodeltote muscosula
Psaphida rolandi
Pseudeustrotia carneola
Pseudohermonassa bicarnea
Rachiplusia ou
Schinia chrysellus
Schinia rivulosa
Schinia trifascia
Spodoptera dolichos
Spodoptera exigua
Spodoptera frugiperda
Spodoptera mauritia
Spodoptera ornithogalli
Spragueia dama
Spragueia guttata
Spragueia jaguaralis
Tarache aprica
Tarache quadriplaga
Thysanoplusia orichalcea
Tricholita signata
Trichoplusia ni
Trichordestra legitima
Tripudia quadrifera
